year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3,Sentinel-6MF,date
1993.0129,-16.92,,,,,1/4/1993
1993.0412,-9.52,,,,,1/15/1993
1993.0644,-35.02,,,,,1/23/1993
1993.0978,-35.12,,,,,2/4/1993
1993.1213,-38.22,,,,,2/13/1993
1993.1501,-49.72,,,,,2/23/1993
1993.1772,-64.02,,,,,3/5/1993
1993.2042,-61.42,,,,,3/15/1993
1993.2315,-79.92,,,,,3/25/1993
1993.2856,-60.32,,,,,4/14/1993
1993.313,-68.02,,,,,4/24/1993
1993.34,-71.52,,,,,5/4/1993
1993.3673,-62.02,,,,,5/14/1993
1993.3944,-55.92,,,,,5/24/1993
1993.4215,-61.12,,,,,6/2/1993
1993.4486,-44.22,,,,,6/12/1993
1993.4744,-47.92,,,,,6/22/1993
1993.503,-32.62,,,,,7/2/1993
1993.5301,-22.92,,,,,7/12/1993
1993.5844,-0.12,,,,,8/1/1993
1993.6121,6.88,,,,,8/11/1993
1993.6389,21.78,,,,,8/21/1993
1993.666,18.28,,,,,8/31/1993
1993.6929,27.78,,,,,9/10/1993
1993.7196,42.28,,,,,9/19/1993
1993.7471,39.78,,,,,9/29/1993
1993.7744,45.08,,,,,10/9/1993
1993.8016,35.38,,,,,10/19/1993
1993.8559,34.28,,,,,11/8/1993
1993.8829,23.68,,,,,11/18/1993
1993.9102,29.38,,,,,11/28/1993
1993.9372,15.88,,,,,12/8/1993
1993.9645,1.48,,,,,12/18/1993
1993.9912,1.38,,,,,12/28/1993
1994.0187,-21.52,,,,,1/6/1994
1994.0455,-30.32,,,,,1/16/1994
1994.0728,-44.22,,,,,1/26/1994
1994.1001,-43.92,,,,,2/5/1994
1994.1273,-44.22,,,,,2/15/1994
1994.1545,-55.22,,,,,2/25/1994
1994.1817,-57.72,,,,,3/7/1994
1994.2358,-67.62,,,,,3/27/1994
1994.2632,-60.52,,,,,4/6/1994
1994.2902,-75.52,,,,,4/15/1994
1994.3175,-66.12,,,,,4/25/1994
1994.3444,-53.72,,,,,5/5/1994
1994.3717,-47.92,,,,,5/15/1994
1994.3989,-43.92,,,,,5/25/1994
1994.426,-48.62,,,,,6/4/1994
1994.4531,-42.22,,,,,6/14/1994
1994.5074,-13.92,,,,,7/4/1994
1994.5345,-24.92,,,,,7/14/1994
1994.5617,-17.52,,,,,7/24/1994
1994.5889,13.88,,,,,8/3/1994
1994.616,17.68,,,,,8/12/1994
1994.6432,20.18,,,,,8/22/1994
1994.6704,31.98,,,,,9/1/1994
1994.6974,44.88,,,,,9/11/1994
1994.7246,45.98,,,,,9/21/1994
1994.7515,52.68,,,,,10/1/1994
1994.7787,47.48,,,,,10/11/1994
1994.8063,38.98,,,,,10/21/1994
1994.8332,32.88,,,,,10/31/1994
1994.8876,37.88,,,,,11/20/1994
1994.9146,32.08,,,,,11/30/1994
1994.9419,26.68,,,,,12/10/1994
1994.969,7.58,,,,,12/19/1994
1994.9963,-3.22,,,,,12/29/1994
1995.0234,-13.22,,,,,1/8/1995
1995.0502,-18.72,,,,,1/18/1995
1995.0771,-34.02,,,,,1/28/1995
1995.1043,-38.02,,,,,2/7/1995
1995.1316,-33.82,,,,,2/17/1995
1995.1587,-21.72,,,,,2/26/1995
1995.2132,-54.42,,,,,3/18/1995
1995.2406,-53.92,,,,,3/28/1995
1995.2675,-41.82,,,,,4/7/1995
1995.2947,-45.02,,,,,4/17/1995
1995.3219,-49.82,,,,,4/27/1995
1995.3762,-30.82,,,,,5/17/1995
1995.4034,-28.32,,,,,5/27/1995
1995.4304,-37.12,,,,,6/6/1995
1995.4576,-32.22,,,,,6/16/1995
1995.4847,-32.92,,,,,6/26/1995
1995.5391,1.88,,,,,7/15/1995
1995.5662,2.98,,,,,7/25/1995
1995.5933,15.28,,,,,8/4/1995
1995.6205,43.28,,,,,8/14/1995
1995.6477,43.18,,,,,8/24/1995
1995.6746,47.18,,,,,9/3/1995
1995.7019,48.18,,,,,9/13/1995
1995.7291,58.18,,,,,9/23/1995
1995.7563,61.78,,,,,10/3/1995
1995.7835,60.28,,,,,10/13/1995
1995.8377,42.38,,,,,11/1/1995
1995.8648,43.98,,,,,11/11/1995
1995.8904,34.38,,,,,11/21/1995
1995.9462,21.48,,,,,12/11/1995
1995.9735,8.58,,,,,12/21/1995
1996.0006,-12.42,,,,,12/31/1995
1996.0277,-12.02,,,,,1/10/1996
1996.0544,-27.42,,,,,1/19/1996
1996.0817,-39.02,,,,,1/29/1996
1996.1091,-42.02,,,,,2/8/1996
1996.1637,-43.62,,,,,2/28/1996
1996.1903,-48.82,,,,,3/9/1996
1996.217,-62.22,,,,,3/19/1996
1996.2449,-73.12,,,,,3/29/1996
1996.2719,-59.82,,,,,4/8/1996
1996.2993,-67.12,,,,,4/18/1996
1996.3263,-54.32,,,,,4/28/1996
1996.3537,-57.02,,,,,5/8/1996
1996.3807,-51.22,,,,,5/18/1996
1996.4077,-37.62,,,,,5/27/1996
1996.4348,-46.42,,,,,6/6/1996
1996.4892,-37.12,,,,,6/26/1996
1996.5164,-6.22,,,,,7/6/1996
1996.5435,10.28,,,,,7/16/1996
1996.5707,19.28,,,,,7/26/1996
1996.598,8.38,,,,,8/5/1996
1996.6251,22.48,,,,,8/15/1996
1996.6521,34.38,,,,,8/25/1996
1996.6793,50.58,,,,,9/4/1996
1996.7057,45.18,,,,,9/13/1996
1996.7338,50.18,,,,,9/24/1996
1996.7607,57.28,,,,,10/3/1996
1996.8151,58.78,,,,,10/23/1996
1996.8422,55.48,,,,,11/2/1996
1996.8691,55.78,,,,,11/12/1996
1996.8965,30.18,,,,,11/22/1996
1996.9236,19.58,,,,,12/2/1996
1996.9509,16.88,,,,,12/12/1996
1996.9773,8.88,,,,,12/21/1996
1997.005,0.58,,,,,1/1/1997
1997.0324,12.08,,,,,1/11/1997
1997.0592,6.58,,,,,1/21/1997
1997.0863,-20.32,,,,,1/31/1997
1997.141,-44.22,,,,,2/20/1997
1997.1676,-41.72,,,,,3/2/1997
1997.1951,-26.62,,,,,3/12/1997
1997.2222,-46.12,,,,,3/22/1997
1997.2493,-63.02,,,,,4/1/1997
1997.2765,-60.82,,,,,4/10/1997
1997.3037,-54.12,,,,,4/20/1997
1997.3309,-44.42,,,,,4/30/1997
1997.3579,-40.22,,,,,5/10/1997
1997.3852,-39.52,,,,,5/20/1997
1997.4121,-35.92,,,,,5/30/1997
1997.4664,-28.52,,,,,6/19/1997
1997.4937,-17.52,,,,,6/29/1997
1997.5207,-15.62,,,,,7/9/1997
1997.548,-11.12,,,,,7/19/1997
1997.5752,3.08,,,,,7/29/1997
1997.6294,20.78,,,,,8/17/1997
1997.6567,36.38,,,,,8/27/1997
1997.6835,50.58,,,,,9/6/1997
1997.7109,47.08,,,,,9/16/1997
1997.7381,48.08,,,,,9/26/1997
1997.7923,62.18,,,,,10/16/1997
1997.8194,53.18,,,,,10/26/1997
1997.8466,47.08,,,,,11/5/1997
1997.8737,43.28,,,,,11/15/1997
1997.9009,22.28,,,,,11/25/1997
1997.9279,9.38,,,,,12/4/1997
1997.955,2.58,,,,,12/14/1997
1997.9823,2.18,,,,,12/24/1997
1998.0097,3.88,,,,,1/3/1998
1998.0369,2.78,,,,,1/13/1998
1998.091,-36.82,,,,,2/2/1998
1998.1181,-26.62,,,,,2/12/1998
1998.1452,-30.72,,,,,2/22/1998
1998.1723,-35.62,,,,,3/3/1998
1998.1994,-41.42,,,,,3/13/1998
1998.2266,-61.12,,,,,3/23/1998
1998.254,-39.72,,,,,4/2/1998
1998.2811,-47.62,,,,,4/12/1998
1998.3081,-53.22,,,,,4/22/1998
1998.3353,-43.62,,,,,5/2/1998
1998.3625,-34.42,,,,,5/12/1998
1998.4165,-38.32,,,,,6/1/1998
1998.4439,-35.12,,,,,6/11/1998
1998.4711,-16.42,,,,,6/21/1998
1998.4982,-2.02,,,,,6/30/1998
1998.5253,17.08,,,,,7/10/1998
1998.5525,32.38,,,,,7/20/1998
1998.6068,26.98,,,,,8/9/1998
1998.634,37.18,,,,,8/19/1998
1998.661,53.98,,,,,8/29/1998
1998.6881,67.08,,,,,9/8/1998
1998.7153,72.78,,,,,9/18/1998
1998.7425,56.28,,,,,9/28/1998
1998.7694,61.58,,,,,10/8/1998
1998.824,77.78,,,,,10/27/1998
1998.851,63.28,,,,,11/6/1998
1998.8782,42.48,,,,,11/16/1998
1998.9052,38.98,,,,,11/26/1998
1998.9324,26.78,,,,,12/6/1998
1998.9599,40.98,,,,,12/16/1998
1998.9867,36.78,,,,,12/26/1998
1999.0142,19.78,,,,,1/5/1999
1999.0411,1.18,,,,,1/15/1999
1999.0955,1.88,,,,,2/3/1999
1999.1255,-13.32,,,,,2/14/1999
1999.1496,-13.42,,,,,2/23/1999
1999.1767,-34.12,,,,,3/5/1999
1999.2042,-36.02,,,,,3/15/1999
1999.231,-63.82,,,,,3/25/1999
1999.2585,-47.62,,,,,4/4/1999
1999.2852,-33.82,,,,,4/14/1999
1999.3396,-36.72,,,,,5/4/1999
1999.3669,-44.22,,,,,5/14/1999
1999.3939,-38.42,,,,,5/23/1999
1999.4212,-15.12,,,,,6/2/1999
1999.4483,-15.62,,,,,6/12/1999
1999.4755,-11.62,,,,,6/22/1999
1999.5026,0.28,,,,,7/2/1999
1999.5298,16.98,,,,,7/12/1999
1999.557,24.78,,,,,7/22/1999
1999.5842,36.08,,,,,8/1/1999
1999.6113,38.38,,,,,8/11/1999
1999.6383,50.68,,,,,8/21/1999
1999.6926,63.68,,,,,9/9/1999
1999.7197,70.98,,,,,9/19/1999
1999.7466,79.68,,,,,9/29/1999
1999.7741,58.18,,,,,10/9/1999
1999.8011,65.18,,,,,10/19/1999
1999.8285,58.08,,,,,10/29/1999
1999.8556,66.78,,,,,11/8/1999
1999.8828,55.88,,,,,11/18/1999
1999.9087,47.78,,,,,11/27/1999
1999.9642,21.58,,,,,12/18/1999
1999.9912,20.98,,,,,12/28/1999
2000.0184,39.08,,,,,1/6/2000
2000.0455,17.28,,,,,1/16/2000
2000.0727,4.68,,,,,1/26/2000
2000.0996,1.58,,,,,2/5/2000
2000.1273,3.88,,,,,2/15/2000
2000.1542,-22.02,,,,,2/25/2000
2000.1814,-29.32,,,,,3/6/2000
2000.2084,-39.92,,,,,3/16/2000
2000.2356,-41.42,,,,,3/26/2000
2000.2898,-27.92,,,,,4/14/2000
2000.3172,-30.82,,,,,4/24/2000
2000.3443,-30.42,,,,,5/4/2000
2000.3714,-16.32,,,,,5/14/2000
2000.3985,-12.02,,,,,5/24/2000
2000.4256,-15.72,,,,,6/3/2000
2000.4529,-2.72,,,,,6/13/2000
2000.4799,-3.32,,,,,6/23/2000
2000.5072,3.18,,,,,7/3/2000
2000.5342,12.28,,,,,7/13/2000
2000.5886,36.88,,,,,8/1/2000
2000.6157,38.68,,,,,8/11/2000
2000.6428,44.98,,,,,8/21/2000
2000.6699,47.18,,,,,8/31/2000
2000.6972,66.58,,,,,9/10/2000
2000.7239,71.38,,,,,9/20/2000
2000.7514,70.68,,,,,9/30/2000
2000.7786,52.88,,,,,10/10/2000
2000.8057,74.58,,,,,10/20/2000
2000.8601,59.08,,,,,11/9/2000
2000.8862,53.28,,,,,11/18/2000
2000.915,39.98,,,,,11/29/2000
2000.9415,28.68,,,,,12/8/2000
2000.9686,19.68,,,,,12/18/2000
2000.9956,13.78,,,,,12/28/2000
2001.0228,7.68,,,,,1/8/2001
2001.0776,-4.62,,,,,1/28/2001
2001.1046,-20.62,,,,,2/7/2001
2001.1313,-24.32,,,,,2/16/2001
2001.1587,-39.02,,,,,2/26/2001
2001.1858,-44.12,,,,,3/8/2001
2001.2129,-61.62,,,,,3/18/2001
2001.2402,-65.72,,,,,3/28/2001
2001.2673,-64.52,,,,,4/7/2001
2001.2945,-54.62,,,,,4/17/2001
2001.3215,-51.62,,,,,4/27/2001
2001.3487,-43.02,,,,,5/7/2001
2001.3759,-43.72,,,,,5/17/2001
2001.403,-47.02,,,,,5/27/2001
2001.4302,-39.22,,,,,6/6/2001
2001.4572,-28.02,,,,,6/15/2001
2001.4846,-16.12,,,,,6/26/2001
2001.5117,-4.82,,,,,7/5/2001
2001.5387,2.28,,,,,7/15/2001
2001.566,18.28,,,,,7/25/2001
2001.593,20.08,,,,,8/4/2001
2001.6202,15.48,,,,,8/14/2001
2001.6473,40.78,,,,,8/24/2001
2001.6744,56.08,,,,,9/3/2001
2001.7016,61.38,,,,,9/13/2001
2001.7288,68.58,,,,,9/23/2001
2001.7559,59.18,,,,,10/3/2001
2001.7832,63.88,,,,,10/13/2001
2001.8103,70.18,,,,,10/22/2001
2001.8374,76.88,,,,,11/1/2001
2001.8646,56.78,,,,,11/11/2001
2001.8922,32.78,,,,,11/21/2001
2001.9189,27.98,,,,,12/1/2001
2001.9567,10.68,,,,,12/15/2001
2001.9732,18.78,,,,,12/21/2001
2002.0001,11.98,,,,,12/31/2001
2002.0265,2.48,,,,,1/9/2002
2002.0538,,-8,,,,1/19/2002
2002.0541,-5.52,,,,,1/19/2002
2002.0817,-1.12,,,,,1/29/2002
2002.0823,,1.7,,,,1/30/2002
2002.1089,-7.12,-10.5,,,,2/8/2002
2002.1359,-17.32,-13,,,,2/18/2002
2002.1632,-14.12,,,,,2/28/2002
2002.1633,,-19.6,,,,2/28/2002
2002.1902,-50.02,,,,,3/10/2002
2002.1907,,-50.3,,,,3/10/2002
2002.2175,,-59,,,,3/20/2002
2002.2176,-55.52,,,,,3/20/2002
2002.2446,-64.92,-67.9,,,,3/30/2002
2002.2717,-45.62,-43.2,,,,4/9/2002
2002.2991,,-43,,,,4/19/2002
2002.3,-44.52,,,,,4/19/2002
2002.3261,-31.92,-31.4,,,,4/29/2002
2002.3532,-55.92,-49.6,,,,5/9/2002
2002.3803,-32.02,-34.3,,,,5/18/2002
2002.4074,-27.32,,,,,5/28/2002
2002.4075,,-28,,,,5/28/2002
2002.4345,-25.92,,,,,6/7/2002
2002.4346,,-26,,,,6/7/2002
2002.4618,,-26.1,,,,6/17/2002
2002.462,-24.22,,,,,6/17/2002
2002.489,-38.52,-41.6,,,,6/27/2002
2002.5161,,-11,,,,7/7/2002
2002.5433,23.48,17.8,,,,7/17/2002
2002.5702,30.48,,,,,7/27/2002
2002.5704,,28.4,,,,7/27/2002
2002.5974,28.48,,,,,8/6/2002
2002.5975,,33.2,,,,8/6/2002
2002.6246,,37.5,,,,8/16/2002
2002.6248,31.98,,,,,8/16/2002
2002.652,,52.2,,,,8/26/2002
2002.6547,59.68,,,,,8/27/2002
2002.6789,60.88,62.7,,,,9/4/2002
2002.7061,,72.3,,,,9/14/2002
2002.7066,77.08,,,,,9/15/2002
2002.7331,63.98,,,,,9/24/2002
2002.7333,,67.2,,,,9/24/2002
2002.7603,59.08,,,,,10/4/2002
2002.7605,,55.4,,,,10/4/2002
2002.7863,72.18,,,,,10/14/2002
2002.7874,,77.7,,,,10/14/2002
2002.8148,,52.1,,,,10/24/2002
2002.8149,55.38,,,,,10/24/2002
2002.8417,50.48,47.4,,,,11/3/2002
2002.8686,37.08,,,,,11/13/2002
2002.869,,32.2,,,,11/13/2002
2002.8951,,25.9,,,,11/22/2002
2002.8978,30.08,,,,,11/23/2002
2002.9232,36.18,32.1,,,,12/3/2002
2002.9503,26.38,,,,,12/13/2002
2002.9505,,22.7,,,,12/13/2002
2002.9772,6.28,,,,,12/22/2002
2002.9773,,13.2,,,,12/22/2002
2003.0043,-0.82,,,,,1/1/2003
2003.0048,,1.5,,,,1/1/2003
2003.0317,,-5.8,,,,1/11/2003
2003.0319,-12.42,,,,,1/11/2003
2003.0591,-5.82,,,,,1/21/2003
2003.0594,,-6,,,,1/21/2003
2003.0861,-26.22,,,,,1/31/2003
2003.0863,,-24.8,,,,1/31/2003
2003.1129,-24.82,,,,,2/10/2003
2003.1131,,-20.1,,,,2/10/2003
2003.1404,-25.32,,,,,2/20/2003
2003.1405,,-28.2,,,,2/20/2003
2003.1673,-24.62,,,,,3/2/2003
2003.1677,,-39.2,,,,3/2/2003
2003.1951,-29.92,,,,,3/12/2003
2003.1953,,-35.4,,,,3/12/2003
2003.2218,-28.32,,,,,3/22/2003
2003.2219,,-39.5,,,,3/22/2003
2003.2488,-42.12,,,,,3/31/2003
2003.2491,,-45.1,,,,3/31/2003
2003.2759,-43.12,,,,,4/10/2003
2003.2809,,-52.8,,,,4/12/2003
2003.3032,-49.32,,,,,4/20/2003
2003.3034,,-54.4,,,,4/20/2003
2003.33,-33.32,,,,,4/30/2003
2003.3305,,-31,,,,4/30/2003
2003.3576,,-28.5,,,,5/10/2003
2003.3577,-22.52,,,,,5/10/2003
2003.3845,-35.12,,,,,5/20/2003
2003.3847,,-35.3,,,,5/20/2003
2003.4117,-18.62,,,,,5/30/2003
2003.4121,,-22.4,,,,5/30/2003
2003.4385,-16.52,,,,,6/9/2003
2003.4392,,-25.4,,,,6/9/2003
2003.4662,,-8.8,,,,6/19/2003
2003.4663,-4.62,,,,,6/19/2003
2003.4933,9.98,-8,,,,6/29/2003
2003.5207,,4.4,,,,7/9/2003
2003.5472,16.88,,,,,7/18/2003
2003.5476,,17.7,,,,7/19/2003
2003.5748,,20.1,,,,7/28/2003
2003.5822,31.58,,,,,7/31/2003
2003.6019,50.88,,,,,8/7/2003
2003.6021,,46.2,,,,8/7/2003
2003.6288,54.38,,,,,8/17/2003
2003.6293,,46.4,,,,8/17/2003
2003.6559,47.58,,,,,8/27/2003
2003.6562,,45,,,,8/27/2003
2003.6834,,63.1,,,,9/6/2003
2003.6835,63.08,,,,,9/6/2003
2003.7104,65.98,,,,,9/16/2003
2003.7106,,75.8,,,,9/16/2003
2003.7375,72.08,,,,,9/26/2003
2003.7378,,78.1,,,,9/26/2003
2003.7648,63.38,,,,,10/6/2003
2003.7649,,64.3,,,,10/6/2003
2003.7919,62.68,,,,,10/16/2003
2003.7921,,60.3,,,,10/16/2003
2003.8192,71.48,63.6,,,,10/26/2003
2003.846,84.78,,,,,11/5/2003
2003.8464,,70,,,,11/5/2003
2003.8712,,61.4,,,,11/14/2003
2003.8734,59.88,,,,,11/15/2003
2003.9113,,32.9,,,,11/28/2003
2003.9119,20.08,,,,,11/29/2003
2003.9209,29.68,,,,,12/2/2003
2003.9277,,35.3,,,,12/4/2003
2003.9547,35.28,,,,,12/14/2003
2003.9549,,35.1,,,,12/14/2003
2003.9817,19.58,,,,,12/24/2003
2003.982,,16.5,,,,12/24/2003
2004.0091,-5.52,,,,,1/3/2004
2004.0092,,4,,,,1/3/2004
2004.036,10.58,,,,,1/13/2004
2004.0363,,17.7,,,,1/13/2004
2004.063,-3.62,,,,,1/23/2004
2004.0634,,0.5,,,,1/23/2004
2004.0908,-18.32,-16.1,,,,2/2/2004
2004.1136,,-28,,,,2/10/2004
2004.1178,-26.42,,,,,2/12/2004
2004.1447,-31.12,,,,,2/21/2004
2004.1491,,-24.9,,,,2/23/2004
2004.1718,-47.52,,,,,3/2/2004
2004.1722,,-41.3,,,,3/2/2004
2004.1992,-36.52,,,,,3/12/2004
2004.1993,,-31.6,,,,3/12/2004
2004.2262,-22.02,,,,,3/22/2004
2004.2263,,-20.6,,,,3/22/2004
2004.2523,,-45.9,,,,4/1/2004
2004.2534,-45.52,,,,,4/1/2004
2004.2803,-61.02,,,,,4/11/2004
2004.2808,,-52.1,,,,4/11/2004
2004.3078,-51.82,,,,,4/21/2004
2004.308,,-50,,,,4/21/2004
2004.3349,-29.82,,,,,5/1/2004
2004.335,,-31.6,,,,5/1/2004
2004.3619,-28.82,,,,,5/11/2004
2004.3622,,-29.4,,,,5/11/2004
2004.3888,-29.12,,,,,5/21/2004
2004.3892,,-32.1,,,,5/21/2004
2004.4164,,-27.9,,,,5/31/2004
2004.4436,,-15.8,,,,6/10/2004
2004.4706,-0.32,,,,,6/19/2004
2004.4707,,-13,,,,6/19/2004
2004.4976,-5.52,,,,,6/29/2004
2004.498,,0.7,,,,6/29/2004
2004.5224,-13.42,,,,,7/8/2004
2004.525,,-4.3,,,,7/9/2004
2004.5523,,6.1,,,,7/19/2004
2004.5529,15.28,,,,,7/19/2004
2004.5773,19.58,,,,,7/28/2004
2004.5795,,22.1,,,,7/29/2004
2004.6062,31.18,,,,,8/8/2004
2004.6066,,38.8,,,,8/8/2004
2004.6338,41.48,36.8,,,,8/18/2004
2004.6607,,43,,,,8/28/2004
2004.6608,43.08,,,,,8/28/2004
2004.6876,61.38,,,,,9/7/2004
2004.688,,64.2,,,,9/7/2004
2004.7148,73.58,,,,,9/17/2004
2004.715,,76.3,,,,9/17/2004
2004.7422,,69.4,,,,9/27/2004
2004.7425,67.58,,,,,9/27/2004
2004.7691,81.48,,,,,10/6/2004
2004.7694,,82.2,,,,10/7/2004
2004.7962,62.28,,,,,10/16/2004
2004.7965,,69,,,,10/16/2004
2004.8237,50.88,50.4,,,,10/26/2004
2004.8503,60.78,,,,,11/5/2004
2004.8509,,60.6,,,,11/5/2004
2004.8778,49.08,54.3,,,,11/15/2004
2004.905,34.38,,,,,11/25/2004
2004.9052,,39.4,,,,11/25/2004
2004.9321,31.58,,,,,12/5/2004
2004.9322,,34.8,,,,12/5/2004
2004.9542,29.78,,,,,12/13/2004
2004.9595,,30.4,,,,12/15/2004
2004.9861,22.98,,,,,12/25/2004
2004.9866,,29.7,,,,12/25/2004
2005.0136,17.68,,,,,1/4/2005
2005.0137,,24.3,,,,1/5/2005
2005.0404,28.88,,,,,1/14/2005
2005.0405,,41.9,,,,1/14/2005
2005.0679,7.08,11.4,,,,1/24/2005
2005.0948,,-19.7,,,,2/3/2005
2005.095,-13.62,,,,,2/3/2005
2005.1222,-18.72,,,,,2/13/2005
2005.1224,,-22.5,,,,2/13/2005
2005.1489,-37.12,,,,,2/23/2005
2005.1496,,-35.1,,,,2/23/2005
2005.1761,-42.32,,,,,3/5/2005
2005.1763,,-38.1,,,,3/5/2005
2005.2039,,-40.4,,,,3/15/2005
2005.204,-43.62,,,,,3/15/2005
2005.2305,,-26.4,,,,3/25/2005
2005.2308,-29.32,,,,,3/25/2005
2005.2579,-44.92,,,,,4/4/2005
2005.2581,,-37.9,,,,4/4/2005
2005.2849,-41.52,-39.5,,,,4/14/2005
2005.3102,-38.72,,,,,4/23/2005
2005.3124,,-29.9,,,,4/24/2005
2005.3393,,-23.1,,,,5/3/2005
2005.3397,-35.32,,,,,5/4/2005
2005.3665,,-42.7,,,,5/13/2005
2005.3666,-51.72,,,,,5/13/2005
2005.3937,-44.12,,,,,5/23/2005
2005.3938,,-36.1,,,,5/23/2005
2005.4206,-26.12,,,,,6/2/2005
2005.4211,,-24.7,,,,6/2/2005
2005.4477,-7.92,,,,,6/12/2005
2005.4481,,-6.2,,,,6/12/2005
2005.4748,-4.42,,,,,6/22/2005
2005.4752,,-0.9,,,,6/22/2005
2005.5023,4.38,,,,,7/2/2005
2005.5024,,6.2,,,,7/2/2005
2005.5296,,24.7,,,,7/12/2005
2005.5299,20.18,,,,,7/12/2005
2005.5564,22.08,,,,,7/22/2005
2005.5568,,27.6,,,,7/22/2005
2005.5834,21.88,,,,,8/1/2005
2005.584,,19.5,,,,8/1/2005
2005.6107,44.38,,,,,8/11/2005
2005.6109,,40.7,,,,8/11/2005
2005.6381,58.48,,,,,8/21/2005
2005.6384,,57,,,,8/21/2005
2005.6651,43.38,,,,,8/30/2005
2005.6654,,52,,,,8/31/2005
2005.6923,57.48,,,,,9/9/2005
2005.6924,,62.5,,,,9/9/2005
2005.714,,67.6,,,,9/17/2005
2005.7194,66.68,,,,,9/19/2005
2005.7468,83.38,,,,,9/29/2005
2005.7514,90.1,,,,,10/1/2005
2005.7736,74.5,,,,,10/9/2005
2005.801,52.1,,,,,10/19/2005
2005.8281,61.7,,,,,10/29/2005
2005.8554,71,,,,,11/8/2005
2005.8824,40,,,,,11/18/2005
2005.9097,41.2,,,,,11/28/2005
2005.9367,45,,,,,12/8/2005
2005.9639,23.5,,,,,12/18/2005
2005.991,17.5,,,,,12/27/2005
2006.0181,7.4,,,,,1/6/2006
2006.0454,3.3,,,,,1/16/2006
2006.0726,1.3,,,,,1/26/2006
2006.0996,-5.3,,,,,2/5/2006
2006.1269,-13.9,,,,,2/15/2006
2006.1537,-33.7,,,,,2/25/2006
2006.181,-45.3,,,,,3/7/2006
2006.2083,-46.8,,,,,3/17/2006
2006.2354,-46.9,,,,,3/26/2006
2006.2625,-38.5,,,,,4/5/2006
2006.2897,-51.8,,,,,4/15/2006
2006.3167,-48.5,,,,,4/25/2006
2006.344,-31.8,,,,,5/5/2006
2006.3712,-17.9,,,,,5/15/2006
2006.3982,-7.7,,,,,5/25/2006
2006.4254,-19.9,,,,,6/4/2006
2006.4526,-12.2,,,,,6/14/2006
2006.4796,9.6,,,,,6/24/2006
2006.5068,11,,,,,7/4/2006
2006.5339,16,,,,,7/14/2006
2006.5612,30.4,,,,,7/23/2006
2006.5883,41.3,,,,,8/2/2006
2006.6156,30.4,,,,,8/12/2006
2006.6426,47.6,,,,,8/22/2006
2006.6699,66.2,,,,,9/1/2006
2006.6969,76.8,,,,,9/11/2006
2006.7242,72.1,,,,,9/21/2006
2006.7513,82.9,,,,,10/1/2006
2006.7781,81.4,,,,,10/11/2006
2006.8055,74.5,,,,,10/21/2006
2006.8244,74.5,,,,,10/28/2006
2006.8894,40.1,,,,,11/20/2006
2006.9144,42.4,,,,,11/29/2006
2006.9407,33.8,,,,,12/9/2006
2006.9684,28.9,,,,,12/19/2006
2006.9954,24.5,,,,,12/29/2006
2007.0223,13.5,,,,,1/8/2007
2007.0497,7.1,,,,,1/18/2007
2007.0769,-9,,,,,1/28/2007
2007.1038,-28.9,,,,,2/6/2007
2007.1305,-43.3,,,,,2/16/2007
2007.1587,-36.4,,,,,2/26/2007
2007.1853,-31.4,,,,,3/8/2007
2007.2128,-34.4,,,,,3/18/2007
2007.2399,-34.5,,,,,3/28/2007
2007.2668,-35.3,,,,,4/7/2007
2007.2941,-49.8,,,,,4/17/2007
2007.3213,-48.6,,,,,4/27/2007
2007.3484,-45.3,,,,,5/7/2007
2007.3756,-26.8,,,,,5/17/2007
2007.4029,-14.1,,,,,5/27/2007
2007.4298,-9.6,,,,,6/5/2007
2007.4571,-19,,,,,6/15/2007
